RECN,AUN,MUS,TI,ATI,PG,ED,SR,CT,COM,PL,YR,DATE,OY,VOL,NUM,EN,CODE,CITE,GCITE,VO,NOTE,XN,PER,CAT,EX,TR,SC,FE,DI,DIU,ROYAL,COMMIT,CALL,MSG,STAMP,UPN,SORTN,SORT2N,LCITE,BIB,recid,GCITE2,firsttwo,FirstLetter
37,"Boskovits, M.",,Paragone,Il Maestro del Bambino Vispo: Gherardo Starnina o Miguel Alcañiz?,15-Mar,,,,,,,September |y 1975,,26,307,,BOSKO,"Boskovits, 1975, p.","Boskovits, 1975",,Checked: EW 9/17/91 // IJR 9/23/91   seen.10.11.91.fma,,y,,,,,,,,Back on Shelf,,,A,EW |D 1991 09 17 |T 12:15:34,EW |D 1991 09 17 |T 12:15:34,,,"Boskovits, M.  Il Maestro del Bambino Vispo: Gherardo Starnina o Miguel Alcañiz?.  Paragone  26, 307 (September 1975): 3-15.","Boskovits, M.  Il Maestro del Bambino Vispo: Gherardo Starnina o Miguel Alcañiz?.  Paragone  26, 307 (September 1975): 3-15.",37,"Boskovits, 1975","Boskovits, 1975",B
38,"Barandiarán, J. de, Director, Museo de Bellas Artes de Bilbao.",,,,,,,,,,,"Letter dated January 17, |y 1991",,,,,BARAN,"Barandiarán, Letter dated January 17, 1991.","Barandiarán, Letter dated January 17, 1991",,"Checked: note that the author has merely xeroxed information from another source and so it si difficult to attribute it all to him. EW 8/2/91 / IJR, 8/14/91   seen.12.16.91.fma",,,,,,,,,,Letter,,,B,EW |D 1991 08 02 |T 10:42:17,EW |D 1991 08 02 |T 10:42:17,,,"Barandiarán, J. de, Director, Museo de Bellas Artes de Bilbao. Letter dated January 17, 1991.","Barandiarán, J. de, Director, Museo de Bellas Artes de Bilbao. Letter dated January 17, 1991.",38,"Barandiarán, Letter dated January 17, 1991","Barandiarán, Letter",B
39,"Valdivieso González, E.",,La pintura en Valladolid en el siglo XVII,,,,,,,Valladolid,1971,,,,,,VALGON71,"Valdivieso González, 1971, p.","Valdivieso González, 1971",,Checked: EW 7/5/91  seen.7.17.91.fma // IJR 9/27/91,,,,,,,,,,General - Regional,,,A B C D E G H L M1 M3 P,IR |D 1989 04 20 |T 10:24:27,FMA |D 1989 10 03 |T 12:50:32,,,"Valdivieso González, E.  La pintura en Valladolid en el siglo XVII.  Valladolid, 1971.","Valdivieso González, E.  La pintura en Valladolid en el siglo XVII.  Valladolid, 1971.",39,"Valdivieso González, 1971",Valdivieso González,V
40,"Busse, J.",,Internationales Handbuch aller Maler und Bildhauer des 19. Jahrhunderts,,,,,,,Wiesbaden,1977,,,,,,BUSSE,"Busse, 1977.","Busse, 1977",,"seen.5.10.91.fma; IJR, 5/13/91, EW 5/23/91",,,,,,,,,,,,Reading Room,A B C D E F G H I J L M1 M4 N P R S T V,MPI |D 1989 06 29 |T 16:38:12,FMA |D 1989 10 06 |T 12:15:12,,,"Busse, J.  Internationales Handbuch aller Maler und Bildhauer des 19. Jahrhunderts.  Wiesbaden, 1977.","Busse, J.  Internationales Handbuch aller Maler und Bildhauer des 19. Jahrhunderts.  Wiesbaden, 1977.",40,"Busse, 1977","Busse, 1977",B
41,"García Chico, E., comp.",,Documentos para el estudio del arte en Castilla,,,,,,,Valladolid,1940-1946,,,,,,GARCHI,"García Chico, v. , pt. , 194 , p.","García Chico, 1940-1946",3 vols.,"Checked: IJR, 5/14/91, EW 5/23/91     seen.5.31.91.fma",,,,,,,,,,General - Regional,"each vol. in Painting, Sculpture and Architecture sections. vol 3 has 2 parts.",803 G165,A B C E G H I M1 P R S T V,IR |D 1989 04 20 |T 10:26:58,FMA |D 1990 08 30 |T 11:26:24,,,"García Chico, E., comp.  Documentos para el estudio del arte en Castilla.  3 vols.  Valladolid, 1940-1946.","García Chico, E., comp.  Documentos para el estudio del arte en Castilla.  3 vols.  Valladolid, 1940-1946.",41,"García Chico, 1940-1946",García Chico,G
42,"Espín Rael, J.",,Artistas y artífices levantinos,,,,,,,"1931. Reprint, Murcia",1986,,,,,,ESRA,"Espín Rael, 1931 repr. 1986, p.","Espín Rael, 1931 repr. 1986",,"Checked: EW 5/23/91; IJR, 6/3/91   seen.1.27.93.fma",,,,,,,,,,General - Regional,,804 Es65 1986,A B G M4 T,KS |D 1989 04 20 |T 10:25:56,FMA |D 1990 08 20 |T 12:19:12,,,"Espín Rael, J.  Artistas y artífices levantinos.  1931. Reprint, Murcia, 1986.","Espín Rael, J.  Artistas y artífices levantinos.  1931. Reprint, Murcia, 1986.",42,"Espín Rael, 1931 repr. 1986",Espín Rael,E
43,"Oliver, A.",,Medio siglo de artistas murcianos (1900-1950),,,,,,,Madrid,1952,,,,,,OLI,"Oliver, 1952, p.","Oliver, 1952",,"Checked: EW 5/3/91; IJR, 5/24/91",,,,,,,,,,General - Regional,,,A B C F G H M3 M4 R S,KS |D 1989 04 20 |T 10:27:33,MPI |D 1989 07 07 |T 09:56:36,,,"Oliver, A.  Medio siglo de artistas murcianos (1900-1950). Madrid, 1952.","Oliver, A.  Medio siglo de artistas murcianos (1900-1950). Madrid, 1952.",43,"Oliver, 1952","Oliver, 1952",O
44,"Ramírez de Arellano, R.",,"Catálogo de artífices que trabajaron en Toledo, y cuyos nombres y obras aparecen en los archivos de sus parroquias",,,,,,,Toledo,1920,,,,,,RAA20,"Ramírez de Arellano, 1920, p.","Ramírez de Arellano, 1920",,"seen.5/9/91.fma, EW 5/23/91; IJR, 5/30/91",,,,,,,,,,General - Regional,,,A C G H J L P V,IR |D 1989 04 20 |T 10:27:06,FMA |D 1990 04 04 |T 16:14:36,,,"Ramírez de Arellano, R.  Catálogo de artífices que trabajaron en Toledo, y cuyos nombres y obras aparecen en los archivos de sus parroquias. Toledo, 1920.","Ramírez de Arellano, R.  Catálogo de artífices que trabajaron en Toledo, y cuyos nombres y obras aparecen en los archivos de sus parroquias. Toledo, 1920.",44,"Ramírez de Arellano, 1920",Ramírez de,R
45,"Pérez Sánchez, A.E., Director, Museo del Prado, Madrid.",,,,,,,,,,,"Letter dated January 8, |y 1991",,,,,PESAN191,"Pérez Sánchez, Letter dated January 8, 1991.","Pérez Sánchez, Letter dated January 8, 1991",,"Checked: EW 8/2/91 / IJR, 8/14/91    seen.5.12.94.fma",,,,,,,,,,Letter,,,B,EW |D 1991 08 02 |T 11:11:41,EW |D 1991 08 02 |T 11:11:41,,,"Pérez Sánchez, A.E., Director, Museo del Prado, Madrid.  Letter dated January 8, 1991.","Pérez Sánchez, A.E., Director, Museo del Prado, Madrid.  Letter dated January 8, 1991.",45,"Pérez Sánchez, Letter dated January 8, 1991",Pérez Sánchez,P
46,,"Madrid, Biblioteca Nacional [BN]",Retratos de personajes españoles que se conservan en la sección de estampas de bellas artes,,,,,Comp.,A.M. de Barcia,,1901 [i.e. 1905],,,,,,MABN01,"Madrid, BN [cat.], 1901, p.","Madrid, BN [cat.], 1901",,Checked: IJR 5/17/91  EW 6/27/91   seen.5.19.92.fma,,,Y,,,,,,,Drawings and Prints,,C M26 c b47c 1905,A B F I M1,MPI |D 1989 06 29 |T 16:48:18,FMA |D 1990 08 14 |T 09:53:49,,,"Madrid, Biblioteca Nacional [BN].  Retratos de personajes españoles que se conservan en la sección de estampas de bellas artes [cat.]. Comp. A.M. de Barcia.  1901 [i.e. 1905].","Madrid, Biblioteca Nacional [BN].  Retratos de personajes españoles que se conservan en la sección de estampas de bellas artes [cat.]. Comp. A.M. de Barcia.  1901 [i.e. 1905].",46,"Madrid, BN [cat.], 1901","Madrid, BN",M
47,"Valdivieso [González], E.",,"Historia de la pintura sevillana, siglos XIII al XX",,,,,,,Seville,1986,,,,,,VALGON86,"Valdivieso [González], 1986, p.","Valdivieso [González], 1986",,"Checked: IJR, 5/22/91, EW 5/29/91  seen.7.17.91.fma.",,,,,,,,,,General,,,A B C D E F G H I J L M1 M2 M3 M4 P R S T V Z,KS |D 1989 04 20 |T 10:31:01,IR |D 1990 07 30 |T 14:54:24,,,"Valdivieso [González], E.  Historia de la pintura sevillana, siglos XIII al XX.  Seville, 1986.","Valdivieso [González], E.  Historia de la pintura sevillana, siglos XIII al XX.  Seville, 1986.",47,"Valdivieso [González], 1986",Valdivieso [González,V
48,"Gestoso y Pérez, J.",,Ensayo de un diccionario de los artífices que florecieron en Sevilla desde el siglo XIII al XVIII inclusive,,,,,,,Seville,1899-1908,,,,,,GESPE,"Gestoso y Pérez, v. , 1   , p.","Gestoso y Pérez, 1899-1908",3 vols.,"seen.10.6.89.fma    Checked: IJR, 5/17/91, EW 5/23/91",,,,,,,,,,General - Regional,,,A B C D E F G H J L M1 M3 M4 O P R S V Z,KS |D 1989 04 20 |T 10:33:28,FMA |D 1989 10 06 |T 12:18:21,,,"Gestoso y Pérez, J.  Ensayo de un diccionario de los artífices que florecieron en Sevilla desde el siglo XIII al XVIII inclusive.  3 vols. Seville, 1899-1908.","Gestoso y Pérez, J.  Ensayo de un diccionario de los artífices que florecieron en Sevilla desde el siglo XIII al XVIII inclusive.  3 vols. Seville, 1899-1908.",48,"Gestoso y Pérez, 1899-1908",Gestoso y,G
49,"Agulló [y] Cobo, M.",,Noticias sobre pintores madrileños de los siglos XVI y XVII,,,,"Documentos inéditos para la historia del arte, vol.1",,,Granada,1978,,,,,,AGULLO,"Agulló [y] Cobo, Pintores, 1978, p.","Agulló [y] Cobo, Pintores, 1978",,"Checked: EW 6/20/91 / IJR, 9/13/91  seen.8.29.92.fma",,,,,,,,,,General - Regional,,812 Ag 95,B C E F G H J L M1 M3 M4 P V,IR |D 1989 04 20 |T 10:32:23,EW |D 1990 08 06 |T 13:35:02,,,"Agulló [y] Cobo, M.  Noticias sobre pintores madrileños de los siglos XVI y XVII.  Documentos inéditos para la historia del arte, vol.1. Granada, 1978.","Agulló [y] Cobo, M.  Noticias sobre pintores madrileños de los siglos XVI y XVII.  Documentos inéditos para la historia del arte, vol.1. Granada, 1978.",49,"Agulló [y] Cobo, Pintores, 1978",Agulló [y,A
50,"Valdivieso [González], E., and J.M. Serrera.",,Escuela sevillana del primer tercio del siglo XVII,,,,Historia de la pintura española,,,Madrid,1985,,,,,,VALSE,"Valdivieso [González] and Serrera, 1985, p.","Valdivieso [González] and Serrera, 1985",,"Checked: IJR, 6/27/91  EW 6/28/91  seen.7.17.91.fma",,,,,,,,,,General - Regional,,810 H629 c,C L M P R S U V,KS |D 1989 04 20 |T 10:36:33,MPI |D 1990 09 27 |T 14:29:04,,,"Valdivieso [González], E., and J.M. Serrera.  Escuela sevillana del primer tercio del siglo XVII.  Historia de la pintura española.  Madrid, 1985.","Valdivieso [González], E., and J.M. Serrera.  Escuela sevillana del primer tercio del siglo XVII.  Historia de la pintura española.  Madrid, 1985.",50,"Valdivieso [González] and Serrera, 1985",Valdivieso [González,V
51,"Alpera, L. and A. Castillejos.",,Món de Sixto,,,,,Trans.,J.M. Perujo Melgar and M.A. Campos,Valencia,1994 [Text also in Castillian and English],,,,,,ALCAS,"Alpera and Castillejos, 1994, p.","Alpera and Castillejos, 1994",,,,,,,,,,,,,Not in book.  Added to SPBIB and COLON after receipt of monograph.,813 M333al74,M1,MLH |D 1997 01 29 |T 09:08:54,MLH |D 1997 01 29 |T 09:08:54,,,"Alpera, L. and A. Castillejos.  Món de Sixto.  Trans. J.M. Perujo Melgar and M.A. Campos.  Valencia, 1994 [Text also in Castillian and English].","Alpera, L. and A. Castillejos.  Món de Sixto.  Trans. J.M. Perujo Melgar and M.A. Campos.  Valencia, 1994 [Text also in Castillian and English].",51,"Alpera and Castillejos, 1994",Alpera and,A
52,"Gudiol [Ricart], J.",,Pintura medieval en Aragón,,,,,,,Saragossa,1971,,,,,,GUDIOL71,"Gudiol [Ricart], 1971, p.","Gudiol [Ricart], 1971",,,,,,,,,,,,General,,,A B C G J L M1 M2 R S,IR |D 1989 04 20 |T 10:37:01,EVA |D 1990 03 15 |T 13:13:26,,,"Gudiol [Ricart], J.  Pintura medieval en Aragón.  Saragossa, 1971.","Gudiol [Ricart], J.  Pintura medieval en Aragón.  Saragossa, 1971.",52,"Gudiol [Ricart], 1971",Gudiol [Ricart,G
53,"Fernández López, J.",,La pintura de historia en Sevilla en el siglo XIX,,,,Arte hispalense,,,Seville,1985,,,,,,FERLO,"Fernández López, 1985, p.","Fernández López, 1985",,"Checked: EW 5/23/91; IJR, 5/23/91",,,,,,,,,,General - Regional,,810.6 F391,A G J M3 P V,KS |D 1989 04 20 |T 10:37:59,IR |D 1990 07 27 |T 11:40:32,,,"Fernández López, J.  La pintura de historia en Sevilla en el siglo XIX.  Arte hispalense.  Seville, 1985.","Fernández López, J.  La pintura de historia en Sevilla en el siglo XIX.  Arte hispalense.  Seville, 1985.",53,"Fernández López, 1985",Fernández López,F
54,"Morales y Marín, J.L.",,La pintura aragonesa en el siglo XVII,,,,,,,Saragossa,1980,,,,,,MOMA80,"Morales y Marín, 1980, p.","Morales y Marín, 1980",,"Checked: IJR, 5/20/91, EW 5/23/91   seen.6.22.92.fma  SME 3.93",,,,,,,,,,General,,810.5 M792,A B G H M1 M4,IR |D 1989 04 20 |T 10:38:08,FMA |D 1989 09 14 |T 16:54:32,,,"Morales y Marín, J.L.  La pintura aragonesa en el siglo XVII. Saragossa, 1980.","Morales y Marín, J.L.  La pintura aragonesa en el siglo XVII. Saragossa, 1980.",54,"Morales y Marín, 1980",Morales y,M
55,"Valdivieso [González], E.",,Pintura sevillana del siglo XIX,,,,,,,Seville,1981,,,,,,VALGONPIN,"Valdivieso [González], Pintura, 1981, p.","Valdivieso [González], Pintura, 1981",,"Checked: IJR/ 5/22/91, EW 5/24/91  seen.7.17.91.fma",,,,,,,,,,General - Regional,,810.6 V233,A B C D E F G H J L M1 M2 M3 M4 N P R S T V,KS |D 1989 04 20 |T 10:40:02,FMA |D 1990 08 16 |T 09:28:12,b,,"Valdivieso [González], E.  Pintura sevillana del siglo XIX. Seville, 1981.","Valdivieso [González], E.  Pintura sevillana del siglo XIX. Seville, 1981.",55,"Valdivieso [González], Pintura, 1981",Valdivieso [González,V
56,"García Guatas, M.",,Pintura y arte aragonés (1885-1951),,,,Colección Aragón,,,Saragossa,1976,,,,,,GARGUA,"García Guatas, 1976, p.","García Guatas, 1976",,"seen.10.10.89.fma       Checked: EW 5/23/91; IJR, 5/23/91--",,,,,,,,,,General - Regional,,810.7 G1657,A B C D F G L M1 P R,IR |D 1989 04 20 |T 10:39:27,FMA |D 1989 10 10 |T 11:45:28,,,"García Guatas, M.  Pintura y arte aragonés (1885-1951). Colección Aragón.  Saragossa, 1976.","García Guatas, M.  Pintura y arte aragonés (1885-1951). Colección Aragón.  Saragossa, 1976.",56,"García Guatas, 1976",García Guatas,G
57,"Vollmer, H.",,Allgemeines Lexikon der bildenden Künstler des XX. Jahrhunderts,,,,,,,Leipzig,1953-1962,,,,,,V,"Vollmer, v. , 19  .","Vollmer, 1953-1962",6 vols.,"seen.5/9/91.fma; IJR, 5/13/91, EW 5/24/91",,,,,,,,,,,,,A B C D E F G H I J L M1 M3 M4 N O P R S T V,MPI |D 1989 06 29 |T 16:35:51,MJO |D 1990 03 09 |T 12:26:40,,,"Vollmer, H.  Allgemeines Lexikon der bildenden Künstler des XX. Jahrhunderts.  6 vols.  Leipzig, 1953-1962.","Vollmer, H.  Allgemeines Lexikon der bildenden Künstler des XX. Jahrhunderts.  6 vols.  Leipzig, 1953-1962.",57,"Vollmer, 1953-1962","Vollmer, 1953-1962",V
58,"Navascués Palacio, P.",,Archivo Español de Arte,Rodrigo Gil y los entalladores de la fachada de la Universidad de Alcalá,103-117,,,,,,,|y 1972,,45,,,NAPA,"Navascués Palacio, Gil, 1972, p.","Navascués Palacio, Gil, 1972",,"Checked: IJR, 6/20/91  EW 6/27/91    seen.3.11.94.fma",,y,,,,,,,,Back on Shelf,,,G,JRV |D 1991 06 13 |T 14:35:42,JRV |D 1991 06 13 |T 14:35:42,gi,,"Navascués Palacio, P.  Rodrigo Gil y los entalladores de la fachada de la Universidad de Alcalá.  Archivo Español de Arte  45 (1972): 103-117.","Navascués Palacio, P.  Rodrigo Gil y los entalladores de la fachada de la Universidad de Alcalá.  Archivo Español de Arte  45 (1972): 103-117.",58,"Navascués Palacio, Gil, 1972",Navascués Palacio,N
59,"Casado Alcalde, E.",,La pintura en Navarra en el último tercio del siglo XVI,,,,,,,Pamplona,1976,,,,,,CAAL76,"Casado Alcalde, 1976, p.","Casado Alcalde, 1976",,"Checked: IJR, 6/4/91 EW 6/19/91     seen.7.17.91.fma SME 3.93",,,,,,,,,,General - Regional,,810.4 c26,B E G H L M1 M2 M3 O,KS |D 1989 04 20 |T 10:45:38,MPI |D 1989 07 07 |T 09:57:53,,,"Casado Alcalde, E.  La pintura en Navarra en el último tercio del siglo XVI.  Pamplona, 1976.","Casado Alcalde, E.  La pintura en Navarra en el último tercio del siglo XVI.  Pamplona, 1976.",59,"Casado Alcalde, 1976",Casado Alcalde,C
60,"Llano Gorostiza, M.",,Pintura vasca,,,,,,,Bilbao,1965,,,,,,LLAGO,"Llano Gorostiza, 1965, p.","Llano Gorostiza, 1965",,"Checked: IJR, 5/17/91, EW 5/23/91         seen.7.17.91.fma",,,,,,,,,,General - Regional,,810.6 L77,A B C D E F G I J L M1 M3 M4 N O P R S T Z,KS |D 1989 04 20 |T 10:47:02,MPI |D 1989 07 07 |T 10:00:35,,,"Llano Gorostiza, M.  Pintura vasca.  Bilbao, 1965.","Llano Gorostiza, M.  Pintura vasca.  Bilbao, 1965.",60,"Llano Gorostiza, 1965",Llano Gorostiza,L
61,"Suárez, C.",,Escritores y artistas asturianos. Indice bio-bibliográfico,,,,,,,Madrid and Oviedo,1936-1959,,,,,,SUAREZ,"Suárez, v. , 19  .","Suárez, 1936-1959",7 vols.,"Checked: IJR, 5/22/91, EW 5/24/91   seen.5.19.92.fma   SME 3.93",,,,,,,,,,General - Regional,,804 Su18,A C F G H J L M1 M3 M4 O P S,KS |D 1989 04 20 |T 10:51:06,FMA |D 1989 10 10 |T 12:02:34,,,"Suárez, C.  Escritores y artistas asturianos. Indice bio-bibliográfico.  7 vols.  Madrid and Oviedo, 1936-1959.","Suárez, C.  Escritores y artistas asturianos. Indice bio-bibliográfico.  7 vols.  Madrid and Oviedo, 1936-1959.",61,"Suárez, 1936-1959","Suárez, 1936-1959",S
62,"Pérez Costanti, P.",,Diccionario de artistas que florecieron en Galicia durante los siglos XVI y XVII,,,,,,,Santiago [de Compostela],1930,,,,,,PECOS,"Pérez Costanti, 1930.","Pérez Costanti, 1930",,"Checked: IJR, 5/21/91, EW 5/23/91",,,,,,,,,,General - Regional,,,A C H I V,KS |D 1989 04 20 |T 10:55:48,MJO |D 1989 07 07 |T 09:58:10,,,"Pérez Costanti, P.  Diccionario de artistas que florecieron en Galicia durante los siglos XVI y XVII.  Santiago [de Compostela], 1930.","Pérez Costanti, P.  Diccionario de artistas que florecieron en Galicia durante los siglos XVI y XVII.  Santiago [de Compostela], 1930.",62,"Pérez Costanti, 1930",Pérez Costanti,P
63,"Couselo Bouzas, J.",,Galicia artística en el siglo XVIII y primer tercio del XIX,,,,,,,[Santiago de] Compostela,1932,,,,,,COUBOU32,"Couselo Bouzas, 1932, p.","Couselo Bouzas, 1932",,"Checked: IJR, 6/4/91  EW 6/20/91",,,,,,,,,,General - Regional,,803 C836,A F G I,KS |D 1989 04 20 |T 10:57:38,EVA |D 1990 01 22 |T 09:25:34,,,"Couselo Bouzas, J.  Galicia artística en el siglo XVIII y primer tercio del XIX.  [Santiago de] Compostela, 1932.","Couselo Bouzas, J.  Galicia artística en el siglo XVIII y primer tercio del XIX.  [Santiago de] Compostela, 1932.",63,"Couselo Bouzas, 1932",Couselo Bouzas,C
64,"Pablos, F.",,Pintores gallegos del Novecientos,,,,,,,La Coruña,1981,,,,,,PABLOS,"Pablos, 1981, p.","Pablos, 1981",,"Checked: IJR, 5/21/91, EW 5/23/91       seen.1.30.95.fma",,,,,,,,,,Authors,,812 P112,A B C J L M4 N S T,KS |D 1989 04 20 |T 10:59:19,MJO |D 1989 07 07 |T 09:55:21,,,"Pablos, F.  Pintores gallegos del Novecientos.  La Coruña, 1981.","Pablos, F.  Pintores gallegos del Novecientos.  La Coruña, 1981.",64,"Pablos, 1981","Pablos, 1981",P
65,"López Martínez, C.",,"Arquitectos, escultores y pintores vecinos de Sevilla",,,,Notas para la historia del arte,,,Seville,1928,,,,,,LOMA28,"López Martínez, 1928, p.","López Martínez, 1928",,"Checked: IJR, 5/17/91, EW 5/29/91  seen.8.20.91.fma",,,,,,,,,,Sculpture,,804 L881,A C G H L M1 M3 P S V,MPI |D 1989 06 30 |T 09:44:58,FMA |D 1990 08 07 |T 09:07:34,,,"López Martínez, C.  Arquitectos, escultores y pintores vecinos de Sevilla.  Notas para la historia del arte.  Seville, 1928.","López Martínez, C.  Arquitectos, escultores y pintores vecinos de Sevilla.  Notas para la historia del arte.  Seville, 1928.",65,"López Martínez, 1928",López Martínez,L
66,"Cortés, N.A.",,Datos para la biografía artística de los siglos XVI y XVII,,,,,,,Madrid,1922,,,,,,CORTES,"Cortés, 1922, p.","Cortés, 1922",,"Checked: EW 6/19/91 / IJR, 6/27/91    seen.5.1.91.fma",,,,,,,,,,General - Regional,,804 c 818,A G I J L M1 M3 M4,MPI |D 1989 06 30 |T 09:49:31,EW |D 1990 08 06 |T 13:38:54,,,"Cortés, N.A.  Datos para la biografía artística de los siglos XVI y XVII.  Madrid, 1922.","Cortés, N.A.  Datos para la biografía artística de los siglos XVI y XVII.  Madrid, 1922.",66,"Cortés, 1922","Cortés, 1922",C
67,,"Madrid, Biblioteca Nacional [BN]",Iconografía hispana. Retratos de personajes españoles,,,,,Comp.,E. Páez Ríos,,1966-1970,,,,,,MABNI,"Madrid, BN, Iconografía [cat.], v. , 19  , p.","Madrid, BN, Iconografía [cat.], 1966-1970",5 vols.,"seen.8.14.89.fma    Checked: IJR, 5/17/91, EW 5/23/91",,,Y,,,,,,,Back on Shelf,"index is on 6th floor, rest of volumes back on shelf",C M26cB47c,A B C D F G H J L M1 M3 M4 S,MPI |D 1989 06 23 |T 11:04:05,FMA |D 1990 08 14 |T 09:55:48,,,"Madrid, Biblioteca Nacional [BN].  Iconografía hispana. Retratos de personajes españoles [cat.].  Comp. E. Páez Ríos.  5 vols. 1966-1970.","Madrid, Biblioteca Nacional [BN].  Iconografía hispana. Retratos de personajes españoles [cat.].  Comp. E. Páez Ríos.  5 vols. 1966-1970.",67,"Madrid, BN, Iconografía [cat.], 1966-1970","Madrid, BN",M
68,"Palol, P. de., and M. Hirmer.",,Early Medieval Art in Spain,,,,,Trans.,A. Jaffa,London,1967,,,,,,PAHIR,"Palol and Hirmer, 1967, p.","Palol and Hirmer, 1967",,"Checked: EW 6/18/91 / IJR, 6/27/91    seen.5.19.92.fma",,,,,,,,,,General,,803 P186,B M1 M2 M3,MJO |D 1989 06 20 |T 11:22:18,EVA |D 1990 04 27 |T 16:07:27,,,"Palol, P. de., and M. Hirmer.  Early Medieval Art in Spain. Trans. A. Jaffa.  London, 1967.","Palol, P. de., and M. Hirmer.  Early Medieval Art in Spain. Trans. A. Jaffa.  London, 1967.",68,"Palol and Hirmer, 1967",Palol and,P
69,"Mayer, A.L.",,Geschichte der spanischen Malerei,,,,,,,"2nd. ed., Leipzig",1922,,,,,,MAYER22,"Mayer, 1922, p.","Mayer, 1922",,"seen.5/8/91.fma; IJR, 5/20/91, EW 5/23/91",,,,,,,,,,General,,810 M45g,A E G H J L M1 M4 N P S,MPI |D 1989 06 30 |T 12:19:07,FMA |D 1989 07 14 |T 13:04:56,,,"Mayer, A.L.  Geschichte der spanischen Malerei.  2nd. ed., Leipzig, 1922.","Mayer, A.L.  Geschichte der spanischen Malerei.  2nd. ed., Leipzig, 1922.",69,"Mayer, 1922","Mayer, 1922",M
70,"Agulló y Cobo, M.",,"Documentos sobre escultores, entalladores y ensambladores de los siglos XVI al XVIII",,,,,,,Valladolid,1978,,,,,,ACOES,"Agulló y Cobo, Escultores, 1978, p.","Agulló y Cobo, Escultores, 1978",,"Checked: IJR, 5/9/91; EW, 5/23/91        seen.7.5.91.fma",,,,,,,,,,Sculpture,,,A C G L M1 M3 M4 V,USER5 |D 1989 04 26 |T 15:02:26,FMA |D 1990 08 08 |T 14:52:22,,,"Agulló y Cobo, M.  Documentos sobre escultores, entalladores y ensambladores de los siglos XVI al XVIII.  Valladolid, 1978.","Agulló y Cobo, M.  Documentos sobre escultores, entalladores y ensambladores de los siglos XVI al XVIII.  Valladolid, 1978.",70,"Agulló y Cobo, Escultores, 1978",Agulló y,A
